TweetId,UserID,TweetDate
16-177,888,2020-03-01T12:00:01
14-183,985,2020-03-01T12:00:01
15-149,912,2020-03-01T12:00:03
14-178,560,2020-03-01T12:00:04
15-108,525,2020-03-01T12:00:05
14-131,101,2020-03-01T12:00:07
14-105,728,2020-03-01T12:00:08
15-178,848,2020-03-01T12:00:09
14-179,700,2020-03-01T12:00:11
15-117,259,2020-03-01T12:00:14
16-176,890,2020-03-01T12:00:16
16-142,886,2020-03-01T12:00:20
16-176,129,2020-03-01T12:00:22
16-135,429,2020-03-01T12:00:26
14-197,518,2020-03-01T12:00:28
14-126,446,2020-03-01T12:00:29
16-173,950,2020-03-01T12:00:33
16-152,893,2020-03-01T12:00:35
16-117,315,2020-03-01T12:00:36
15-129,622,2020-03-01T12:00:37
14-165,422,2020-03-01T12:00:40
16-173,725,2020-03-01T12:00:41
14-125,521,2020-03-01T12:00:43
14-118,576,2020-03-01T12:00:47
14-151,564,2020-03-01T12:00:48
16-164,257,2020-03-01T12:00:50
14-188,826,2020-03-01T12:00:51
14-148,371,2020-03-01T12:00:53
16-177,961,2020-03-01T12:00:57
16-175,779,2020-03-01T12:00:57
14-104,885,2020-03-01T12:01:01
14-135,478,2020-03-01T12:01:02
16-146,436,2020-03-01T12:01:02
16-131,478,2020-03-01T12:01:05
14-127,225,2020-03-01T12:01:07
14-196,564,2020-03-01T12:01:09
15-159,120,2020-03-01T12:01:12
15-124,657,2020-03-01T12:01:13
16-179,922,2020-03-01T12:01:17
15-183,860,2020-03-01T12:01:19
14-181,378,2020-03-01T12:01:20
14-196,411,2020-03-01T12:01:24
14-172,958,2020-03-01T12:01:28
14-119,584,2020-03-01T12:01:32
15-107,114,2020-03-01T12:01:36
15-193,814,2020-03-01T12:01:40
15-188,746,2020-03-01T12:01:41
14-187,622,2020-03-01T12:01:41
16-180,101,2020-03-01T12:01:45
16-147,267,2020-03-01T12:01:45
16-180,851,2020-03-01T12:01:47
14-141,637,2020-03-01T12:01:51
14-186,318,2020-03-01T12:01:54
14-113,927,2020-03-01T12:01:57
15-171,383,2020-03-01T12:01:58
14-198,341,2020-03-01T12:01:58
15-147,307,2020-03-01T12:01:58
16-175,637,2020-03-01T12:02:02
16-184,989,2020-03-01T12:02:03
16-154,875,2020-03-01T12:02:07
16-171,341,2020-03-01T12:02:08
15-182,103,2020-03-01T12:02:08
16-168,224,2020-03-01T12:02:12
16-100,447,2020-03-01T12:02:16
16-111,895,2020-03-01T12:02:16
15-131,305,2020-03-01T12:02:17
16-114,234,2020-03-01T12:02:19
